ID,Label,EntityClass,Parent
T13704,French Literature and Poetry,topic,Literature and Literary Theory
T12972,German Colonialism and Identity Studies,topic,Literature and Literary Theory
T14149,Historical and Literary Analyses,topic,Literature and Literary Theory
T13329,Joseph Conrad and Literature,topic,Literature and Literary Theory
T13427,Latin American Literature Analysis,topic,Literature and Literary Theory
T12184,Linguistics and Education Research,topic,Literature and Literary Theory
T11935,Literacy Media and Education,topic,Literature and Literary Theory
T13024,Literary Theory and Cultural Hermeneutics,topic,Literature and Literary Theory
T14193,Literature and Cultural Memory,topic,Literature and Literary Theory
T13028,Literature and Culture Studies,topic,Literature and Literary Theory
T13179,Literature Culture and Criticism,topic,Literature and Literary Theory
T14192,Literature Film and Journalism Analysis,topic,Literature and Literary Theory
T13486,Literature Magical Realism García Márquez,topic,Literature and Literary Theory
T10011,Literature: history themes analysis,topic,Literature and Literary Theory
T12214,Media Influence and Health,topic,Literature and Literary Theory
T14305,Modern American Literature Studies,topic,Literature and Literary Theory
T12974,Modernist Literature and Criticism,topic,Literature and Literary Theory
T13733,Moravian Church and William Blake,topic,Literature and Literary Theory
T12461,Narrative Theory and Analysis,topic,Literature and Literary Theory
T12398,Poetry Analysis and Criticism,topic,Literature and Literary Theory
T11717,Postcolonial and Cultural Literary Studies,topic,Literature and Literary Theory
T13666,Postmodernism in Literature and Education,topic,Literature and Literary Theory
T13245,Samuel Beckett and Modernism,topic,Literature and Literary Theory
T12542,Second Language Learning and Teaching,topic,Literature and Literary Theory
T13250,Semiotics and Representation Studies,topic,Literature and Literary Theory
T12912,Shakespeare Adaptation and Literary Criticism,topic,Literature and Literary Theory
T13433,Short Stories in Global Literature,topic,Literature and Literary Theory
T12977,Spanish Literature and Culture Studies,topic,Literature and Literary Theory
T12678,Themes in Literature Analysis,topic,Literature and Literary Theory
T13672,Thomas Hardy Literature Studies,topic,Literature and Literary Theory
T13450,Turkish Literature and Culture,topic,Literature and Literary Theory
T12409,Reformation and Early Modern Christianity,topic,History
T13302,Amazonian Archaeology and Ethnohistory,topic,History
T14494,American Literature and Culture,topic,History
T13333,American Political and Social Dynamics,topic,History
T14518,American Sports and Literature,topic,History
T13495,Biographical and Historical Analysis,topic,History
T12862,Catholicism and Religious Studies,topic,History
T13845,Classical Studies and Legal History,topic,History
T13863,Cultural History and Identity Formation,topic,History
T12454,European Political History Analysis,topic,History
T12909,French Historical and Cultural Studies,topic,History
T13484,German History and Society,topic,History
T13593,Historical and Archaeological Studies,topic,History
T13938,Historical and Contemporary Political Dynamics,topic,History
T12886,Historical and Cultural Studies of Poland,topic,History
T14451,Historical and Religious Studies of Rome,topic,History
T13519,Historical Architecture and Urbanism,topic,History
T14312,Historical Studies in Central America,topic,History
T14355,Historical Studies of British Isles,topic,History
T13332,Historical Studies on Reproduction Gender Health and Societal Changes,topic,History
T12739,Historical Studies on Spain,topic,History
T13392,History of Education in Spain,topic,History
T12382,History of Education Research in Brazil,topic,History
T13708,History of Emotions Research,topic,History
T12778,History of Medicine and Tropical Health,topic,History
T12324,History of Medicine Studies,topic,History
T13231,History Culture and Diplomacy,topic,History
T14386,Libraries Manuscripts and Books,topic,History
T13766,Media Journalism and Communication History,topic,History
T12990,Medical History and Innovations,topic,History
T12575,Medical History and Research,topic,History
T13089,Medieval and Early Modern Iberia,topic,History
T12999,Medieval History and Crusades,topic,History
T13750,Mormonism Religion and History,topic,History
T12585,North African History and Literature,topic,History
T13590,Oral History Memory Narrative Analysis,topic,History
T13848,Ottoman and Turkish Studies,topic,History
T12777,Philosophy History and Historiography,topic,History
T12868,Photography and Visual Culture,topic,History
T12076,Renaissance and Early Modern Studies,topic,History
T14109,Scottish History and National Identity,topic,History
T13577,Sephardic Jews and Inquisition Studies,topic,History
T13006,Spanish History and Politics,topic,History
T13575,Travel Writing and Literature,topic,History
T11857,Archaeological and Historical Studies,topic,Archeology
T13621,Ancient and Medieval Archaeology Studies,topic,Archeology
T12555,Ancient Egypt and Archaeology,topic,Archeology
T13068,Ancient Mediterranean Archaeology and History,topic,Archeology
T12307,Ancient Near East History,topic,Archeology
T13831,Archaeological and Geological Studies,topic,Archeology
T13372,Archaeology and Historical Studies,topic,Archeology
T13599,Architecture and Cultural Influences,topic,Archeology
T11846,Cultural Heritage Management and Preservation,topic,Archeology
T11212,Cultural Heritage Materials Analysis,topic,Archeology
T13070,Cultural Identity and Heritage,topic,Archeology
T10992,Forensic Anthropology and Bioarchaeology Studies,topic,Archeology
T14506,Historical and Architectural Studies,topic,Archeology
T14197,Historical Studies of Medieval Iberia,topic,Archeology
T13198,Historical Religious and Philosophical Studies,topic,Archeology
T13339,Landscape and Cultural Studies,topic,Archeology
T12624,Maritime and Coastal Archaeology,topic,Archeology
T13714,Medieval Architecture and Archaeology,topic,Archeology
T14388,Medieval European History and Architecture,topic,Archeology
T13409,Paleopathology and ancient diseases,topic,Archeology
