OLKey,WikidataID,AuthorGender,genderID,AuthorBirthDate,AuthorDeathDate
OL86036A,Q39931,male,Q6581097,1841-02-25T00:00:00Z,1919-12-17T00:00:00Z
OL173465A,Q471451,male,Q6581097,1876-11-24T00:00:00Z,1940-09-13T00:00:00Z
OL193754A,Q984492,male,Q6581097,1912-08-04T00:00:00Z,2013-12-06T00:00:00Z
OL1128711A,Q3541643,male,Q6581097,1932-06-22T00:00:00Z,
OL1992956A,Q18922202,male,Q6581097,1887-03-07T00:00:00Z,1975-04-19T00:00:00Z
OL1979339A,Q113810271,male,Q6581097,1941-01-01T00:00:00Z,1969-01-01T00:00:00Z
OL4346031A,Q44272,male,Q6581097,1926-10-15T00:00:00Z,1984-06-25T00:00:00Z
OL425281A,Q117012,female,Q6581072,1933-02-18T00:00:00Z,
OL277238A,Q158255,male,Q6581097,1871-07-17T00:00:00Z,1956-07-31T00:00:00Z
OL6982472A,Q1331517,female,Q6581072,1965-01-01T00:00:00Z,
OL411387A,Q3701886,male,Q6581097,1959-07-07T00:00:00Z,
OL267097A,Q6775632,male,Q6581097,1945-01-01T00:00:00Z,
OL5640003A,Q95826786,male,Q6581097,1971-05-29T00:00:00Z,
OL16944A,Q448,male,Q6581097,1713-10-05T00:00:00Z,1784-07-31T00:00:00Z
OL4374354A,Q353869,male,Q6581097,1931-04-07T00:00:00Z,1989-07-23T00:00:00Z
OL5153927A,Q937846,male,Q6581097,1840-03-09T00:00:00Z,1909-07-01T00:00:00Z
OL61810A,Q2636406,male,Q6581097,1944-01-10T00:00:00Z,
OL8041075A,Q98460384,male,Q6581097,1970-01-01T00:00:00Z,
OL18330A,Q5580,male,Q6581097,1471-05-30T00:00:00Z,1528-04-16T00:00:00Z
OL303646A,Q44252,male,Q6581097,1857-02-18T00:00:00Z,1920-07-05T00:00:00Z
OL509461A,Q66897,male,Q6581097,1887-08-18T00:00:00Z,1973-09-16T00:00:00Z
OL28600A,Q533444,male,Q6581097,1904-09-23T00:00:00Z,1996-03-03T00:00:00Z
OL194164A,Q713743,male,Q6581097,1898-02-06T00:00:00Z,1971-03-05T00:00:00Z
OL1809269A,Q752987,male,Q6581097,1892-02-15T00:00:00Z,1965-11-02T00:00:00Z
OL1114439A,Q5125984,female,Q6581072,1834-08-28T00:00:00Z,1916-02-29T00:00:00Z
OL222734A,Q10305071,male,Q6581097,1955-10-13T00:00:00Z,
OL6982670A,Q97152266,female,Q6581072,1967-12-27T00:00:00Z,
OL1038967A,Q93284,male,Q6581097,1887-07-06T00:00:00Z,1985-03-28T00:00:00Z
OL3072849A,Q116738,male,Q6581097,1968-05-24T00:00:00Z,
OL341391A,Q1699460,male,Q6581097,1932-09-23T00:00:00Z,2012-02-02T00:00:00Z
OL2789871A,Q5259874,male,Q6581097,1917-10-24T00:00:00Z,1984-07-06T00:00:00Z
OL123505A,Q5312472,male,Q6581097,1859-03-10T00:00:00Z,1948-12-02T00:00:00Z
OL1424506A,Q6730288,female,Q6581072,1973-03-12T00:00:00Z,
OL10519964A,Q23765718,female,Q6581072,1977-01-01T00:00:00Z,
OL536230A,Q861756,male,Q6581097,1871-08-02T00:00:00Z,1951-09-08T00:00:00Z
OL228667A,Q952233,male,Q6581097,1954-09-14T00:00:00Z,1992-07-22T00:00:00Z
OL261547A,Q953717,male,Q6581097,1943-06-22T00:00:00Z,1978-08-27T00:00:00Z
OL590152A,Q5447170,male,Q6581097,1930-08-02T00:00:00Z,2002-01-05T00:00:00Z
OL720601A,Q58823926,male,Q6581097,1942-01-01T00:00:00Z,
OL5590139A,Q108618316,male,Q6581097,1903-01-25T00:00:00Z,1980-03-21T00:00:00Z
OL2937407A,Q170256,male,Q6581097,1921-07-29T00:00:00Z,2012-07-29T00:00:00Z
OL1743859A,Q215626,male,Q6581097,1892-03-16T00:00:00Z,1963-06-11T00:00:00Z
OL5328080A,Q243117,female,Q6581072,1890-05-31T00:00:00Z,1967-09-27T00:00:00Z
OL3292788A,Q467470,male,Q6581097,1940-06-10T00:00:00Z,
OL51943A,Q525387,male,Q6581097,1898-05-01T00:00:00Z,1971-04-15T00:00:00Z
OL32800A,Q680728,male,Q6581097,1951-12-28T00:00:00Z,
OL1880699A,Q723358,male,Q6581097,1917-09-11T00:00:00Z,2001-10-23T00:00:00Z
OL1723668A,Q15791560,male,Q6581097,1890-01-10T00:00:00Z,1964-04-01T00:00:00Z
OL183527A,Q113778759,female,Q6581072,1953-01-01T00:00:00Z,
OL980122A,Q51989,male,Q6581097,1764-05-20T00:00:00Z,1850-01-27T00:00:00Z
OL236375A,Q519021,male,Q6581097,1955-10-25T00:00:00Z,
OL21896A,Q561458,male,Q6581097,1950-09-16T00:00:00Z,
OL508649A,Q701952,male,Q6581097,1913-06-27T00:00:00Z,1980-06-07T00:00:00Z
OL591272A,Q16935142,male,Q6581097,1952-06-19T00:00:00Z,
OL3199910A,Q58180801,male,Q6581097,1972-01-01T00:00:00Z,
OL59209A,Q151679,male,Q6581097,1923-10-27T00:00:00Z,1997-09-15T00:00:00Z
OL4822663A,Q164712,male,Q6581097,1897-09-23T00:00:00Z,1994-07-20T00:00:00Z
OL834644A,Q459310,male,Q6581097,1951-06-15T00:00:00Z,
OL410247A,Q726169,male,Q6581097,1906-03-09T00:00:00Z,1965-05-23T00:00:00Z
OL7100607A,Q1703138,male,Q6581097,1958-01-01T00:00:00Z,
OL5161686A,Q3425861,male,Q6581097,1866-01-01T00:00:00Z,1911-07-19T00:00:00Z
OL3080104A,Q95936,male,Q6581097,1965-01-01T00:00:00Z,
OL264331A,Q159409,female,Q6581072,1911-12-25T00:00:00Z,2010-05-31T00:00:00Z
OL342333A,Q704012,male,Q6581097,1968-08-16T00:00:00Z,
OL464964A,Q3579718,male,Q6581097,1910-07-09T00:00:00Z,1968-01-18T00:00:00Z
OL2905292A,Q67031197,male,Q6581097,1950-01-01T00:00:00Z,
OL56750A,Q153739,male,Q6581097,1886-09-16T00:00:00Z,1966-06-07T00:00:00Z
OL591074A,Q316325,male,Q6581097,1917-07-12T00:00:00Z,2009-01-16T00:00:00Z
OL1939318A,Q3573978,male,Q6581097,1876-01-16T00:00:00Z,1943-04-01T00:00:00Z
OL1081535A,Q5233353,male,Q6581097,1943-01-01T00:00:00Z,
OL1109036A,Q6154537,female,Q6581072,1942-11-02T00:00:00Z,2020-10-26T00:00:00Z
OL443613A,Q7326038,male,Q6581097,1951-06-04T00:00:00Z,
OL1803449A,Q20278273,male,Q6581097,1899-12-10T00:00:00Z,1966-04-15T00:00:00Z
OL3433864A,Q59610805,female,Q6581072,1975-01-24T00:00:00Z,
OL61028A,Q57395,male,Q6581097,1920-10-31T00:00:00Z,2004-01-23T00:00:00Z
OL132602A,Q158062,male,Q6581097,1847-07-20T00:00:00Z,1935-02-08T00:00:00Z
OL66569A,Q187166,male,Q6581097,1896-09-04T00:00:00Z,1948-03-04T00:00:00Z
OL4336097A,Q354779,male,Q6581097,1880-11-10T00:00:00Z,1959-08-19T00:00:00Z
OL255343A,Q836743,male,Q6581097,1941-07-12T00:00:00Z,
OL3214047A,Q2077416,male,Q6581097,1955-07-16T00:00:00Z,
OL33462A,Q6708326,female,Q6581072,1941-05-17T00:00:00Z,2024-02-24T00:00:00Z
OL3026598A,Q7407437,male,Q6581097,1961-01-01T00:00:00Z,
OL5258875A,Q22277857,female,Q6581072,1955-01-01T00:00:00Z,
OL5426491A,Q47003867,female,Q6581072,1977-01-01T00:00:00Z,
OL929320A,Q113769162,male,Q6581097,1954-01-01T00:00:00Z,
OL28618A,Q46373,male,Q6581097,1834-07-19T00:00:00Z,1917-09-27T00:00:00Z
OL394089A,Q180727,male,Q6581097,1912-10-05T00:00:00Z,1992-08-12T00:00:00Z
OL394410A,Q259543,female,Q6581072,1955-02-19T00:00:00Z,
OL349909A,Q664268,male,Q6581097,1911-12-05T00:00:00Z,1993-08-01T00:00:00Z
OL244882A,Q2315504,male,Q6581097,1952-02-13T00:00:00Z,
OL474362A,Q7174115,male,Q6581097,1947-08-31T00:00:00Z,1990-04-28T00:00:00Z
OL5036860A,Q16616136,male,Q6581097,1971-10-15T00:00:00Z,
OL31265A,Q114405,male,Q6581097,1882-06-21T00:00:00Z,1971-03-13T00:00:00Z
OL2952835A,Q115700,male,Q6581097,1957-05-16T00:00:00Z,
OL487080A,Q151803,male,Q6581097,1872-03-07T00:00:00Z,1944-02-01T00:00:00Z
OL42261A,Q154349,male,Q6581097,1840-04-20T00:00:00Z,1916-07-06T00:00:00Z
OL26322A,Q201538,male,Q6581097,1935-11-01T00:00:00Z,2003-09-25T00:00:00Z
OL52891A,Q15428468,male,Q6581097,1931-02-23T00:00:00Z,2018-07-25T00:00:00Z
OL2124430A,Q214312,male,Q6581097,1926-04-10T00:00:00Z,2017-03-01T00:00:00Z
OL381243A,Q551377,male,Q6581097,1945-01-01T00:00:00Z,2022-05-22T00:00:00Z
OL194690A,Q607534,male,Q6581097,1949-05-03T00:00:00Z,
OL606095A,Q869919,male,Q6581097,1918-02-08T00:00:00Z,1964-08-31T00:00:00Z
OL912101A,Q2040046,male,Q6581097,1892-12-25T00:00:00Z,1973-09-12T00:00:00Z
OL2785671A,Q3106419,male,Q6581097,1933-11-06T00:00:00Z,2005-08-03T00:00:00Z
OL5227277A,Q3764612,male,Q6581097,1888-10-26T00:00:00Z,1975-01-11T00:00:00Z
OL2352347A,Q76456156,male,Q6581097,1864-01-01T00:00:00Z,1945-01-01T00:00:00Z
OL486805A,Q213727,male,Q6581097,1884-04-18T00:00:00Z,1966-05-14T00:00:00Z
OL638504A,Q267858,male,Q6581097,1875-03-27T00:00:00Z,1947-06-14T00:00:00Z
OL44383A,Q558054,male,Q6581097,1877-04-10T00:00:00Z,1959-08-20T00:00:00Z
OL506273A,Q567547,male,Q6581097,1925-10-28T00:00:00Z,2006-03-27T00:00:00Z
OL580375A,Q782366,male,Q6581097,1922-02-27T00:00:00Z,1977-03-13T00:00:00Z
OL1613546A,Q1507782,male,Q6581097,1934-01-01T00:00:00Z,2005-06-27T00:00:00Z
OL134701A,Q2527217,male,Q6581097,1885-04-25T00:00:00Z,1961-08-15T00:00:00Z
OL245247A,Q5656738,male,Q6581097,1939-07-13T00:00:00Z,2013-03-02T00:00:00Z
OL1304780A,Q8009728,male,Q6581097,1900-07-05T00:00:00Z,1980-05-24T00:00:00Z
